state,recording_id,common_name,scientific_name,quality,date,time,latitude,longitude,duration,audio_url,source_url,license,selection_seed,selection_method
CA,375492,African Collared Dove,Streptopelia roseogrisea,A,2017-06-14,15:00,33.922,-117.2617,0:05,https://xeno-canto.org/375492/download,https://xeno-canto.org/375492,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,952203,Allen's Hummingbird,Selasphorus sasin,A,2024-11-24,08:00,33.6104,-117.7392,0:38,https://xeno-canto.org/952203/download,https://xeno-canto.org/952203,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,452094,American Coot,Fulica americana,A,2018-01-30,12:56,33.2016,-115.597,0:18,https://xeno-canto.org/452094/download,https://xeno-canto.org/452094,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,172887,American Wigeon,Mareca americana,B,2012-03-23,09:54,32.564,-117.1256,0:11,https://xeno-canto.org/172887/download,https://xeno-canto.org/172887,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,449497,Anna's Hummingbird,Calypte anna,A,2018-10-21,07:46,32.686,-117.243,1:50,https://xeno-canto.org/449497/download,https://xeno-canto.org/449497,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,807038,Band-tailed Pigeon,Patagioenas fasciata,B,2023-06-02,08:35,39.1855,-120.5591,0:25,https://xeno-canto.org/807038/download,https://xeno-canto.org/807038,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,380363,Black Rail,Laterallus jamaicensis,A,2017-07-18,18:00,38.5419,-121.5816,0:24,https://xeno-canto.org/380363/download,https://xeno-canto.org/380363,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,691650,Black-chinned Hummingbird,Archilochus alexandri,B,2021-04-26,05:30,36.111,-117.1803,0:00,https://xeno-canto.org/691650/download,https://xeno-canto.org/691650,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,964245,Blue-winged Teal,Spatula discors,B,2025-01-16,14:31,35.3217,-120.842,0:05,https://xeno-canto.org/964245/download,https://xeno-canto.org/964245,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,163349,Brant Goose,Branta bernicla,B,2012-02-16,13:22,32.7802,-117.2154,0:03,https://xeno-canto.org/163349/download,https://xeno-canto.org/163349,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,619062,Broad-billed Hummingbird,Cynanthus latirostris,A,2021-01-31,08:00,38.5532,-121.7512,0:47,https://xeno-canto.org/619062/download,https://xeno-canto.org/619062,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,585126,Broad-tailed Hummingbird,Selasphorus platycercus,B,2020-05-24,09:00,37.4299,-118.0801,0:08,https://xeno-canto.org/585126/download,https://xeno-canto.org/585126,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,361916,Bufflehead,Bucephala albeola,B,2017-01-28,14:00,40.8581,-124.0905,0:30,https://xeno-canto.org/361916/download,https://xeno-canto.org/361916,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,144038,Cackling Goose,Branta hutchinsii,A,2009-01-15,09:30,40.6864,-124.2127,1:09,https://xeno-canto.org/144038/download,https://xeno-canto.org/144038,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,503346,California Quail,Callipepla californica,A,2019-08-22,09:00,37.1716,-122.2228,0:22,https://xeno-canto.org/503346/download,https://xeno-canto.org/503346,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,132946,Calliope Hummingbird,Selasphorus calliope,B,2000-06-14,?,34.2109,-116.8013,0:05,https://xeno-canto.org/132946/download,https://xeno-canto.org/132946,https://creativecommons.org/licenses/by-nc-sa/3.0/,42,species_stratified_round_robin
CA,1089596,Canada Goose,Branta canadensis,B,2026-03-19,08:41,38.5321,-121.0686,0:21,https://xeno-canto.org/1089596/download,https://xeno-canto.org/1089596,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,914676,Chukar Partridge,Alectoris chukar,B,2024-06-15,06:00,41.0393,-119.9806,0:49,https://xeno-canto.org/914676/download,https://xeno-canto.org/914676,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
CA,323984,Cinnamon Teal,Spatula cyanoptera,B,2015-04-27,17:22,33.2215,-115.5825,0:07,https://xeno-canto.org/323984/download,https://xeno-canto.org/323984,https://creativecommons.org/licenses/by-nc-sa/4.0/,42,species_stratified_round_robin
