feature_name,source_feature,aggregation,feature_group,frequency_band
aci_mean,aci,mean_across_windows,acoustic_index_or_spectral,1_10_kHz
aci_std,aci,std_across_windows,acoustic_index_or_spectral,1_10_kHz
adi_mean,adi,mean_across_windows,acoustic_index_or_spectral,1_10_kHz
adi_std,adi,std_across_windows,acoustic_index_or_spectral,1_10_kHz
bioacoustic_index_mean,bioacoustic_index,mean_across_windows,acoustic_index_or_spectral,1_10_kHz
bioacoustic_index_std,bioacoustic_index,std_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_eas_mean,spectral_entropy_eas,mean_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_eas_std,spectral_entropy_eas,std_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_ecu_mean,spectral_entropy_ecu,mean_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_ecu_std,spectral_entropy_ecu,std_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_ecv_mean,spectral_entropy_ecv,mean_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_ecv_std,spectral_entropy_ecv,std_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_eps_mean,spectral_entropy_eps,mean_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_eps_std,spectral_entropy_eps,std_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_eps_kurt_mean,spectral_entropy_eps_kurt,mean_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_eps_kurt_std,spectral_entropy_eps_kurt,std_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_eps_skew_mean,spectral_entropy_eps_skew,mean_across_windows,acoustic_index_or_spectral,1_10_kHz
spectral_entropy_eps_skew_std,spectral_entropy_eps_skew,std_across_windows,acoustic_index_or_spectral,1_10_kHz
temporal_entropy_mean,temporal_entropy,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
temporal_entropy_std,temporal_entropy,std_across_windows,temporal_or_spectral,window_or_full_spectrum
rms_mean_mean,rms_mean,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
rms_mean_std,rms_mean,std_across_windows,temporal_or_spectral,window_or_full_spectrum
rms_std_mean,rms_std,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
rms_std_std,rms_std,std_across_windows,temporal_or_spectral,window_or_full_spectrum
zcr_mean_mean,zcr_mean,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
zcr_mean_std,zcr_mean,std_across_windows,temporal_or_spectral,window_or_full_spectrum
zcr_std_mean,zcr_std,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
zcr_std_std,zcr_std,std_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_centroid_mean_mean,spectral_centroid_mean,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_centroid_mean_std,spectral_centroid_mean,std_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_centroid_std_mean,spectral_centroid_std,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_centroid_std_std,spectral_centroid_std,std_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_bandwidth_mean_mean,spectral_bandwidth_mean,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_bandwidth_mean_std,spectral_bandwidth_mean,std_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_bandwidth_std_mean,spectral_bandwidth_std,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_bandwidth_std_std,spectral_bandwidth_std,std_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_rolloff_mean_mean,spectral_rolloff_mean,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_rolloff_mean_std,spectral_rolloff_mean,std_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_rolloff_std_mean,spectral_rolloff_std,mean_across_windows,temporal_or_spectral,window_or_full_spectrum
spectral_rolloff_std_std,spectral_rolloff_std,std_across_windows,temporal_or_spectral,window_or_full_spectrum
ndsi_mean,ndsi,mean_across_windows,soundscape_index,anthrophony_0_1_kHz_biophony_1_10_kHz
ndsi_std,ndsi,std_across_windows,soundscape_index,anthrophony_0_1_kHz_biophony_1_10_kHz
ndsi_ratio_ba_mean,ndsi_ratio_ba,mean_across_windows,soundscape_index,anthrophony_0_1_kHz_biophony_1_10_kHz
ndsi_ratio_ba_std,ndsi_ratio_ba,std_across_windows,soundscape_index,anthrophony_0_1_kHz_biophony_1_10_kHz
anthropophony_mean,anthropophony,mean_across_windows,soundscape_index,anthrophony_0_1_kHz_biophony_1_10_kHz
anthropophony_std,anthropophony,std_across_windows,soundscape_index,anthrophony_0_1_kHz_biophony_1_10_kHz
biophony_mean,biophony,mean_across_windows,soundscape_index,anthrophony_0_1_kHz_biophony_1_10_kHz
biophony_std,biophony,std_across_windows,soundscape_index,anthrophony_0_1_kHz_biophony_1_10_kHz
mfcc_01_mean,mfcc_01_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_01_within_std_mean,mfcc_01_std,mean_across_windows,MFCC,1_10_kHz
mfcc_01_between_window_std,mfcc_01_mean,std_across_windows,MFCC,1_10_kHz
mfcc_01_within_std_std,mfcc_01_std,std_across_windows,MFCC,1_10_kHz
mfcc_02_mean,mfcc_02_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_02_within_std_mean,mfcc_02_std,mean_across_windows,MFCC,1_10_kHz
mfcc_02_between_window_std,mfcc_02_mean,std_across_windows,MFCC,1_10_kHz
mfcc_02_within_std_std,mfcc_02_std,std_across_windows,MFCC,1_10_kHz
mfcc_03_mean,mfcc_03_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_03_within_std_mean,mfcc_03_std,mean_across_windows,MFCC,1_10_kHz
mfcc_03_between_window_std,mfcc_03_mean,std_across_windows,MFCC,1_10_kHz
mfcc_03_within_std_std,mfcc_03_std,std_across_windows,MFCC,1_10_kHz
mfcc_04_mean,mfcc_04_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_04_within_std_mean,mfcc_04_std,mean_across_windows,MFCC,1_10_kHz
mfcc_04_between_window_std,mfcc_04_mean,std_across_windows,MFCC,1_10_kHz
mfcc_04_within_std_std,mfcc_04_std,std_across_windows,MFCC,1_10_kHz
mfcc_05_mean,mfcc_05_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_05_within_std_mean,mfcc_05_std,mean_across_windows,MFCC,1_10_kHz
mfcc_05_between_window_std,mfcc_05_mean,std_across_windows,MFCC,1_10_kHz
mfcc_05_within_std_std,mfcc_05_std,std_across_windows,MFCC,1_10_kHz
mfcc_06_mean,mfcc_06_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_06_within_std_mean,mfcc_06_std,mean_across_windows,MFCC,1_10_kHz
mfcc_06_between_window_std,mfcc_06_mean,std_across_windows,MFCC,1_10_kHz
mfcc_06_within_std_std,mfcc_06_std,std_across_windows,MFCC,1_10_kHz
mfcc_07_mean,mfcc_07_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_07_within_std_mean,mfcc_07_std,mean_across_windows,MFCC,1_10_kHz
mfcc_07_between_window_std,mfcc_07_mean,std_across_windows,MFCC,1_10_kHz
mfcc_07_within_std_std,mfcc_07_std,std_across_windows,MFCC,1_10_kHz
mfcc_08_mean,mfcc_08_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_08_within_std_mean,mfcc_08_std,mean_across_windows,MFCC,1_10_kHz
mfcc_08_between_window_std,mfcc_08_mean,std_across_windows,MFCC,1_10_kHz
mfcc_08_within_std_std,mfcc_08_std,std_across_windows,MFCC,1_10_kHz
mfcc_09_mean,mfcc_09_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_09_within_std_mean,mfcc_09_std,mean_across_windows,MFCC,1_10_kHz
mfcc_09_between_window_std,mfcc_09_mean,std_across_windows,MFCC,1_10_kHz
mfcc_09_within_std_std,mfcc_09_std,std_across_windows,MFCC,1_10_kHz
mfcc_10_mean,mfcc_10_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_10_within_std_mean,mfcc_10_std,mean_across_windows,MFCC,1_10_kHz
mfcc_10_between_window_std,mfcc_10_mean,std_across_windows,MFCC,1_10_kHz
mfcc_10_within_std_std,mfcc_10_std,std_across_windows,MFCC,1_10_kHz
mfcc_11_mean,mfcc_11_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_11_within_std_mean,mfcc_11_std,mean_across_windows,MFCC,1_10_kHz
mfcc_11_between_window_std,mfcc_11_mean,std_across_windows,MFCC,1_10_kHz
mfcc_11_within_std_std,mfcc_11_std,std_across_windows,MFCC,1_10_kHz
mfcc_12_mean,mfcc_12_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_12_within_std_mean,mfcc_12_std,mean_across_windows,MFCC,1_10_kHz
mfcc_12_between_window_std,mfcc_12_mean,std_across_windows,MFCC,1_10_kHz
mfcc_12_within_std_std,mfcc_12_std,std_across_windows,MFCC,1_10_kHz
mfcc_13_mean,mfcc_13_mean,mean_across_windows,MFCC,1_10_kHz
mfcc_13_within_std_mean,mfcc_13_std,mean_across_windows,MFCC,1_10_kHz
mfcc_13_between_window_std,mfcc_13_mean,std_across_windows,MFCC,1_10_kHz
mfcc_13_within_std_std,mfcc_13_std,std_across_windows,MFCC,1_10_kHz
