recording_id,state,species_id,common_name,scientific_name,original_sample_rate,original_channels,flag_short_duration,flag_low_amplitude,flag_clipping,flag_low_quality,flag_any,flag_bandlimit_incompatible,n_windows,aci_mean,adi_mean,bioacoustic_index_mean,ndsi_mean,ndsi_ratio_ba_mean,anthropophony_mean,biophony_mean,spectral_entropy_eas_mean,spectral_entropy_ecu_mean,spectral_entropy_ecv_mean,spectral_entropy_eps_mean,spectral_entropy_eps_kurt_mean,spectral_entropy_eps_skew_mean,temporal_entropy_mean,rms_mean_mean,rms_std_mean,zcr_mean_mean,zcr_std_mean,spectral_centroid_mean_mean,spectral_centroid_std_mean,spectral_bandwidth_mean_mean,spectral_bandwidth_std_mean,spectral_rolloff_mean_mean,spectral_rolloff_std_mean,mfcc_01_mean,mfcc_01_within_std_mean,mfcc_02_mean,mfcc_02_within_std_mean,mfcc_03_mean,mfcc_03_within_std_mean,mfcc_04_mean,mfcc_04_within_std_mean,mfcc_05_mean,mfcc_05_within_std_mean,mfcc_06_mean,mfcc_06_within_std_mean,mfcc_07_mean,mfcc_07_within_std_mean,mfcc_08_mean,mfcc_08_within_std_mean,mfcc_09_mean,mfcc_09_within_std_mean,mfcc_10_mean,mfcc_10_within_std_mean,mfcc_11_mean,mfcc_11_within_std_mean,mfcc_12_mean,mfcc_12_within_std_mean,mfcc_13_mean,mfcc_13_within_std_mean,aci_std,adi_std,bioacoustic_index_std,ndsi_std,ndsi_ratio_ba_std,anthropophony_std,biophony_std,spectral_entropy_eas_std,spectral_entropy_ecu_std,spectral_entropy_ecv_std,spectral_entropy_eps_std,spectral_entropy_eps_kurt_std,spectral_entropy_eps_skew_std,temporal_entropy_std,rms_mean_std,rms_std_std,zcr_mean_std,zcr_std_std,spectral_centroid_mean_std,spectral_centroid_std_std,spectral_bandwidth_mean_std,spectral_bandwidth_std_std,spectral_rolloff_mean_std,spectral_rolloff_std_std,mfcc_01_between_window_std,mfcc_01_within_std_std,mfcc_02_between_window_std,mfcc_02_within_std_std,mfcc_03_between_window_std,mfcc_03_within_std_std,mfcc_04_between_window_std,mfcc_04_within_std_std,mfcc_05_between_window_std,mfcc_05_within_std_std,mfcc_06_between_window_std,mfcc_06_within_std_std,mfcc_07_between_window_std,mfcc_07_within_std_std,mfcc_08_between_window_std,mfcc_08_within_std_std,mfcc_09_between_window_std,mfcc_09_within_std_std,mfcc_10_between_window_std,mfcc_10_within_std_std,mfcc_11_between_window_std,mfcc_11_within_std_std,mfcc_12_between_window_std,mfcc_12_within_std_std,mfcc_13_between_window_std,mfcc_13_within_std_std
1035206,AZ,Chordeiles acutipennis,Lesser Nighthawk,Chordeiles acutipennis,48000,2,False,False,False,False,False,False,15,398.1870463053385,2.16815786769377,394.87278609221465,-0.9569180381238807,0.022471575648098277,51361.21781662489,782.7595224786536,0.17386831521285379,0.4339640718350121,0.28878249921170324,0.33142166504607307,100.58252290511997,7.289397636287519,0.946599879700168,0.012080620881170035,0.002733829264373829,0.10065210894808743,0.02289838225104542,1899.5736349058327,323.3392151410744,2359.1623488279074,202.62918370020935,3856.020107581967,958.7321856442296,-267.31776631673176,13.291479555765788,23.90110772450765,9.378798357645671,-2.185904578367869,8.626136779785156,-0.015977730602025987,6.534197775522868,0.6588611423969268,6.42381690343221,-1.6854428907235464,5.870198154449463,-1.6554933091004689,4.988939062754313,1.2037265102068584,4.755800946553548,1.5162676688904564,4.483018716176351,3.224590027332306,3.7748989264170327,2.5545438607533772,3.5389242649078367,-0.5365861569841702,3.542238696416219,-0.9095859964688618,3.098108005523682,9.801768182709225,0.08966063950681795,67.1058231613686,0.041900968565000946,0.022846795496261403,27571.619751248865,542.46972795079,0.06676863102821412,0.12756255528164875,0.07533651061124497,0.04807181105160318,150.4020974790408,5.097959536822314,0.014665995753965553,0.0036846876503467923,0.0014179306358267027,0.012493198652236501,0.007693965293559919,259.8528936250467,160.3485912023746,150.42356970963388,71.25694873139336,800.5768671179036,344.05585205415997,7.505853984427785,5.824804022263604,6.624613081585004,4.3121567993182905,5.700877614590344,2.5420035126560965,2.905692588977153,1.5172084520244702,2.663402141846563,1.248081345988385,2.481299483391355,1.1662789435487873,1.0340041277913414,1.204110052608465,2.573063041482388,0.8482812176927805,1.461683502439311,0.8246668906427317,0.8370814644723917,0.5960588520637218,0.7540813062787408,0.719954790240401,1.3322877969381617,0.3910855567135483,0.6681428084032799,0.4419632120490285
1080401,AZ,Callipepla gambelii,Gambel's Quail,Callipepla gambelii,48000,2,False,False,False,False,False,False,1,442.63165283203125,2.1604204426975717,1098.1401360544219,0.00875574547144479,1.0176661714435038,21369.44851017215,21746.96485120598,0.3183222776624026,0.5072907334777208,0.25472548814121565,0.31986509713690703,30.082491858596647,4.606615682574258,0.5675399080717105,0.0061873928643763065,0.010631944984197617,0.29811351596030045,0.15519378961232036,3497.8650542693294,1197.8992766739889,2296.551707094753,324.16190314460533,5693.961134489002,1113.8584769589131,-288.11285400390625,78.06188201904297,26.385591506958008,22.049114227294922,-0.044192466884851456,13.361520767211914,16.775657653808594,9.675180435180664,-1.538980484008789,13.406532287597656,8.183374404907227,10.517236709594727,-7.545902729034424,9.6104154586792,2.36335825920105,6.706340789794922,0.08272984623908997,6.580740451812744,2.5647833347320557,7.170608043670654,8.16051959991455,8.156566619873047,-0.3505442142486572,5.486878871917725,-0.9940428137779236,6.757298469543457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080405,AZ,Callipepla squamata,Scaled Quail,Callipepla squamata,48000,2,False,False,False,False,False,False,35,433.52476196289064,1.5403334258198025,1044.7570793650796,0.4441016842022594,8.575060546484977,62343.86413046398,126278.06117276083,0.3811353980781756,0.6289087596838021,0.4090776432403123,0.3097423250644755,44.94818269131187,5.503058942003262,0.5588013080003029,0.006599532420347844,0.016259676184771317,0.27470765201572434,0.06320928695014001,3638.768100640431,543.4960468469748,2257.312274621361,483.6014157767555,5907.391857710041,1417.1559743952373,-261.2196999686105,33.53706071036203,20.92286318370274,16.76539134979248,-23.908565385001047,14.55905396597726,-3.351221573352814,13.254013442993164,-1.145877253796373,11.14632955278669,3.6769212846245085,9.971818569728306,0.8117578272308622,8.295431300571986,-2.132540449500084,7.843495845794678,-0.19560841577393667,6.786282226017543,3.680081067766462,5.849620083400182,1.4686157788016967,5.678013011387416,1.197581054589578,5.058627666745867,-0.14321538869823727,4.816457503182548,14.788075136375639,0.23786538198188376,114.09923139930619,0.24737216339392876,27.050896616928757,65964.36170062561,120428.09119321818,0.10204577542458998,0.12783581110840148,0.08532870842931925,0.028432531235447856,18.934825316283632,1.137948644935068,0.12388478079167389,0.002738535861199798,0.009966274369420594,0.028720955249240936,0.01532886129129976,247.0007569766522,125.4382986664652,179.77074696221538,88.59335079250029,575.5032306057382,303.19721774936596,9.973696471781771,8.534518148907532,6.745832598374319,5.280375172132795,5.927998322117093,2.9079798402202046,6.142394294876208,2.1374193005064503,4.981022235120083,2.2312062552558123,5.8040099671084855,2.1171269062579725,3.8467891870394784,1.4851869964877777,4.055279474239539,1.4508948765681948,3.185878269060101,1.5694688069470264,2.2186846302399177,0.8214474723661176,2.3566975357581796,0.8333931922664136,1.7272233714359706,0.875943706348818,1.8403463340174078,0.8607890803676861
1089596,CA,Branta canadensis,Canada Goose,Branta canadensis,48000,1,False,False,True,False,True,False,2,485.3939208984375,1.278040307716863,1129.9754195011337,-0.10547324393598903,0.8099990879747418,3012160.7557560587,2484567.3785989936,0.38527238993763274,0.5678319832694502,0.38604285989405224,0.3772043524606553,66.1702688079378,7.047262257294124,0.8857116906697857,0.08362539857625961,0.05358823388814926,0.132995462529274,0.04096789150581918,1839.3763996896878,503.9690159756264,1640.1886788849397,459.4425964001969,2972.1871798155735,1311.524988005216,-132.37060546875,27.101667404174805,83.31671142578125,23.975543975830078,5.39457905292511,12.07690715789795,2.770616292953491,11.074313163757324,-9.012963771820068,11.3835768699646,-4.417392253875732,11.165513038635254,1.6445205509662628,9.484731674194336,-3.3182780742645264,7.855902433395386,-5.8880455493927,8.141385555267334,-4.015875339508057,7.649285554885864,0.17041611671447754,7.224776268005371,-3.468583106994629,7.582087516784668,3.009658455848694,6.440165996551514,26.61084849760062,0.11032698224177048,240.8798854505387,0.0332590121275796,0.054455213591171926,1642447.4592650062,1494408.8013767293,0.04102517399941524,0.04206901527205796,0.021058193155798703,0.024255914668009606,32.29526144437742,1.7172852582683102,0.008090226217218917,0.022141003928227963,0.019405315211658596,0.016509745337047767,0.021963396548287804,108.91542568698196,174.7682434728324,50.14065411743463,25.466323443628504,138.28452079502583,150.84559826648837,12.83113531008879,4.261713990531799,3.7610795625783,1.2419873780164823,2.6258307642895975,0.6972909487557544,1.7768325714936681,1.8150064894765312,2.877885945711542,2.5022057968248372,0.18535374755599787,1.5589303301192532,0.9789738052474627,1.113332268475644,0.8453504673510085,0.97363839354762,0.4814158022073194,0.07987873034657489,0.34614026570238965,0.018481561659421077,3.3010655928700245,0.8264868866566847,1.1357280922499686,0.3792420633480577,0.0033665216716561716,0.16135769223741142
109164,TX,Chordeiles acutipennis,Lesser Nighthawk,Chordeiles acutipennis,48000,1,False,False,False,False,False,False,6,378.9039357503255,2.139313315981336,1506.4190022675737,-0.8300806569589355,0.09498520397817826,95784.17799891136,5740.256115202988,0.1122932452814372,0.2818233064434706,0.21616463828063415,0.284463995193119,23.20171507332444,3.944253922029598,0.9211087447649401,0.014535794189820686,0.007273041526786983,0.09682281756196331,0.01652372899019442,2032.716306195581,226.25420123400457,2108.7624111108194,120.68271693728069,4385.007364241803,418.13158137519855,-189.19725799560547,9.94749108950297,39.87983767191569,3.5530176957448325,-23.229841550191242,2.5809561014175415,14.20832904179891,2.3592751224835715,-7.234987894694011,2.0452609260876975,3.3401986360549927,1.8092715342839558,-1.5565796891848247,1.7353827357292175,1.5493245323499043,1.9045518438021343,-0.668508398036162,2.06278532743454,1.4996845523516338,2.0999097426732383,-0.37942884862422943,1.8818042278289795,0.9684570829073588,1.7420672178268433,-0.39903507878383,1.7719924251238506,2.5419369800694445,0.08419165554629736,20.375379042347536,0.08834740297642023,0.05315975735384707,86262.23532863327,1697.238138945962,0.030453935814648926,0.16951654599784918,0.15520786777674284,0.02616259037024047,11.555224832069822,0.885403549728002,0.07220620592337987,0.005035099609064842,0.006653053106765026,0.012770570058929351,0.0022652472118463106,162.90824763598914,86.04888972278654,69.84293325058994,81.46542637554764,267.7205944204399,276.9162525489641,4.4381452049260055,16.24082045562137,1.8257826580731384,1.9267173521292893,0.5725643856073999,0.9216402833526404,0.16093743649126632,0.8309433813689368,0.24819836470388476,0.42123554212223474,0.14032066962941506,0.20980110084133954,0.1207499075870898,0.1667999599758696,0.3540681186795223,0.3564349314991688,0.5079424718381625,0.6259544405834999,0.6357392606035006,0.6603918876920509,0.4314973207307298,0.4296055581724343,0.26245955334207793,0.2861159832117125,0.12145672376544762,0.2748169554230271
109171,TX,Melanerpes formicivorus,Acorn Woodpecker,Melanerpes formicivorus,48000,1,False,False,False,False,False,False,1,388.29107666015625,1.6776780401157754,1187.8583219954648,0.14198645735847146,1.3309655391250446,50579.82924157054,67320.00969535962,0.22814214901492091,0.5534874361143491,0.32681608187112965,0.36883649033856525,54.719845062717184,6.361428557058081,0.7528161038130466,0.01004051137715578,0.011641778983175755,0.19316040324941453,0.023048273051260625,2934.247085508194,350.53663053222004,2273.6576005926668,428.2482108125873,5468.298940189549,1123.8949902507868,-182.46029663085938,50.97133255004883,42.92850112915039,17.677085876464844,-7.537471294403076,9.781441688537598,4.445520401000977,5.273726463317871,-3.5909295082092285,3.0908634662628174,0.6727120280265808,5.0909905433654785,-5.483246803283691,4.356729984283447,1.383074402809143,2.7220420837402344,1.8943325281143188,2.2803196907043457,0.9796022772789001,3.2404439449310303,-0.48345044255256653,2.455673933029175,0.20748525857925415,2.3113226890563965,-0.30975162982940674,2.255328416824341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101338,AZ,Anas platyrhynchos,Mallard,Anas platyrhynchos,44100,2,False,True,False,False,True,False,1,476.5372314453125,2.08779476249382,1273.993469387755,0.38321286655879044,2.242609794470744,6304.429919252531,14138.37628547013,0.1127869109987163,0.3507239615938563,0.19216912356393734,0.3163200484236788,33.869755796641336,4.973681269431568,0.7654280816230564,0.006913562770932913,0.004765482619404793,0.25283566036739863,0.035733138165742355,3404.961583412895,477.4535010455376,2276.7993084447735,252.54187872874135,5986.485084327492,654.2154262431596,-185.185546875,31.21849822998047,29.3190975189209,13.012277603149414,-15.589388847351074,7.6805620193481445,14.089149475097656,5.790836334228516,-5.220189094543457,6.721580505371094,4.647409915924072,4.5485968589782715,-4.645175457000732,6.161115646362305,3.794116973876953,4.078529357910156,-1.3143538236618042,3.8181674480438232,0.1668590009212494,3.3721344470977783,0.5877330303192139,3.71338152885437,0.26322832703590393,3.696343421936035,-0.28608575463294983,2.4875521659851074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106496,TX,Empidonax virescens,Acadian Flycatcher,Empidonax virescens,48000,1,False,False,False,False,False,False,11,426.0188293457031,1.763770821514744,1296.197097505669,0.9335898985453553,441.71951027110975,1490.8862847717812,149014.09721359462,0.24277308453049695,0.4606465825427524,0.26411639187207564,0.480408227854268,138.5103269445972,10.248888810885456,0.6622639804922357,0.008682898817245256,0.0158913515412926,0.460769507132212,0.06303946198549067,4442.932559760159,593.5568153870216,2166.6012505069984,311.00543101567706,6103.088324329359,719.8072154194183,-229.34183432839134,22.246160333806817,4.5004261190241035,10.458622065457432,-9.025813341140747,13.97868485884233,14.592136296358975,8.518129392103715,-13.404534946788441,6.977907007390803,21.21484695781361,7.521678317676891,-5.802414265545932,6.679812214591286,-2.527044648473913,6.113123633644798,9.769982771439986,5.695771087299693,-10.826035239479758,4.482099468057806,5.1712752038782295,3.756543744694103,0.7546954927119341,2.7673065012151543,-5.525517723777077,3.2960210930217397,47.53681793024612,0.3157410225158691,84.36441514520418,0.08256109025126047,720.6981092160015,1432.5975177574928,143819.89674177035,0.06224883423741306,0.10794523094850518,0.04788222993931709,0.048909654868692934,83.45138142944957,2.8371085100932727,0.25248371947463777,0.0032357772495801474,0.012832846998677608,0.03775789843503995,0.05686930432303321,321.35627968916793,515.4727292158477,259.5154999620159,234.03788332847193,509.9685040272396,715.692203639244,40.84970830367806,16.655766066975286,2.562870225625031,3.3902824592180623,4.509951971363613,3.256985971958374,2.876895717699363,3.3422593469887456,2.1991891081102035,1.9247753575271667,3.438047650158903,2.7934719842411533,2.1624906674363786,0.8933226169962992,1.1356633119384283,1.525437103071806,1.4487903236780804,0.9021542909632675,1.7846532934187633,1.0007807603174415,1.6656215459373374,0.7608869695923315,1.3598127163852998,0.36674918118064903,0.541151949331501,0.5690509098459287
110689,AZ,Phalaenoptilus nuttallii,Common Poorwill,Phalaenoptilus nuttallii,44100,1,False,True,False,False,True,False,4,397.73963165283203,1.9502342873229939,517.7712244897959,0.18616946479231805,1.5993500089256525,14733.468658456453,18629.693135200705,0.3350001463875183,0.5777898061618054,0.4375119038887023,0.31649878145692883,41.72052109702755,5.349412312073961,0.8758189803646393,0.005851953406818211,0.004875348706264049,0.25547601132538056,0.06140611069863535,3645.0100777792427,456.10960760408994,2547.3375611980746,258.28301515827275,6643.774814293033,1045.193984103103,-207.4066276550293,12.945710897445679,26.742426872253418,11.554636001586914,-15.783211708068848,12.264195442199707,-6.877723157405853,9.366371154785156,-0.41766173392534256,7.038057446479797,-0.8891245126724243,8.212925434112549,-2.136477515101433,8.33060622215271,-6.219493865966797,7.649700403213501,-4.644800186157227,5.658645987510681,0.13901350530795753,5.0720055103302,2.0568872690200806,4.459692299365997,1.6695085912942886,4.373082399368286,1.116751715540886,4.718936085700989,2.4690863802125578,0.14709557133624754,63.51215135311816,0.19224148979324077,0.8010240240207879,8669.794332316662,8222.509558187236,0.07378773376622126,0.041113772857895955,0.04848051321661756,0.01729560904776185,16.239595972718135,1.0780560202042473,0.03616381327951497,0.0010394085392382995,0.0018199370156788991,0.008220967473971962,0.011624589197504052,59.31867777669802,85.86199646605888,65.09706047176618,22.43132598075921,240.66055436210866,171.56106101950058,3.900705268389978,1.8933264486021448,2.2548683163456005,2.061671144019832,2.065874648823762,1.3323701233380345,4.751218564023476,1.9486620550932612,1.1166085437863595,0.4680172750363868,3.933087956541704,0.6843029154917044,1.8426671489198063,0.6250291012065733,0.8285484412107141,1.0124139258235425,0.31813605439524617,0.3107606235210206,0.5311737187543314,0.24331107642358613,0.2946344234036141,0.4270066626179012,1.0736706828780516,0.46751415381953954,1.4290548989378205,0.5338641575605109
114789,AZ,Crotophaga sulcirostris,Groove-billed Ani,Crotophaga sulcirostris,48000,2,False,False,False,False,False,False,1,445.43792724609375,2.0811104731001966,487.29478458049886,0.6860724695225959,5.370897120614136,6361.024088010352,34164.40595845196,0.29391905533664775,0.5615341140898606,0.40957648705932004,0.23413754786547747,18.00436195045569,3.4241103375373734,0.5863889151984814,0.007229207549244165,0.008766782470047474,0.2819635538641686,0.057412727080341765,4562.19648358657,375.7382346041964,2925.509100941101,278.7020072337478,7816.0736584272545,402.02641270260546,-203.73678588867188,29.484647750854492,-12.411253929138184,10.262785911560059,-8.516663551330566,5.796923637390137,5.547332286834717,6.031490802764893,-7.35078239440918,6.401339530944824,5.059162139892578,5.238227844238281,1.3205538988113403,2.878854990005493,0.01158240344375372,2.974238634109497,-0.8935170769691467,2.9783990383148193,0.6314836144447327,2.9185738563537598,-1.3802964687347412,2.7572383880615234,-0.07938209921121597,2.396588087081909,0.14592282474040985,3.0063047409057617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
